timestamp,drone_id,voltage,current
2024-06-24 17:43:09,29,16.412,0.13
2024-06-24 17:43:10,29,16.411,0.13
2024-06-24 17:43:11,29,16.414,0.13
2024-06-24 17:43:12,29,16.412,0.13
2024-06-24 17:43:13,29,16.407,0.13
2024-06-24 17:43:14,29,16.414,0.13
2024-06-24 17:43:15,29,16.343,1.18
2024-06-24 17:43:16,29,16.333,1.15
2024-06-24 17:43:17,29,16.329,1.15
2024-06-24 17:43:18,29,16.334,1.15
2024-06-24 17:43:19,29,16.335,1.15
2024-06-24 17:43:20,29,16.333,1.15
2024-06-24 17:43:21,29,16.333,1.14
2024-06-24 17:43:22,29,16.328,1.16
2024-06-24 17:43:23,29,16.331,1.15
2024-06-24 17:43:24,29,16.324,1.15
2024-06-24 17:43:25,29,16.336,1.15
2024-06-24 17:43:26,29,16.326,1.15
2024-06-24 17:43:27,29,16.329,1.15
2024-06-24 17:43:28,29,16.32,1.14
2024-06-24 17:43:29,29,16.331,1.14
2024-06-24 17:43:30,29,16.323,1.15
2024-06-24 17:43:31,29,16.323,1.14
2024-06-24 17:43:32,29,16.331,1.15
2024-06-24 17:43:33,29,16.32,1.15
2024-06-24 17:43:34,29,16.314,1.14
2024-06-24 17:43:35,29,16.322,1.14
2024-06-24 17:43:36,29,16.317,1.15
2024-06-24 17:43:37,29,16.311,1.14
2024-06-24 17:43:38,29,16.312,1.14
2024-06-24 17:43:39,29,16.319,1.14
2024-06-24 17:43:40,29,16.312,1.13
2024-06-24 17:43:41,29,16.314,1.14
2024-06-24 17:43:42,29,16.316,1.14
2024-06-24 17:43:43,29,16.323,1.15
2024-06-24 17:43:44,29,16.306,1.13
2024-06-24 17:43:45,29,16.39,0.14
2024-06-24 17:43:46,29,16.395,0.14
2024-06-24 17:43:47,29,16.393,0.13
2024-06-24 17:43:48,29,16.389,0.14
